ID,Pred
2019_1101_1113,0.19255383109751534
2019_1101_1120,0.07059732563614378
2019_1101_1124,0.19005820481546018
2019_1101_1125,0.32226821577350645
2019_1101_1133,0.5193798980673702
2019_1101_1138,0.09559582572328791
2019_1101_1153,0.12154746591499878
2019_1101_1159,0.45940913874577227
2019_1101_1181,0.026201531182516398
2019_1101_1192,0.7322163003754054
2019_1101_1196,0.1390879447998141
2019_1101_1199,0.05332032685452227
2019_1101_1205,0.590101497549352
2019_1101_1209,0.371771270820923
2019_1101_1211,0.047194101771974105
2019_1101_1222,0.0718096385357
2019_1101_1233,0.7548938947701961
2019_1101_1234,0.12223339649100458
2019_1101_1235,0.09677095515820962
2019_1101_1242,0.06100566873734667
2019_1101_1243,0.0824755479017152
2019_1101_1246,0.048311187660931794
2019_1101_1251,0.32492859912427213
2019_1101_1257,0.1083541552395095
2019_1101_1261,0.07543755372408271
2019_1101_1266,0.10440574193163864
2019_1101_1268,0.1023832998181052
2019_1101_1276,0.039085843527709545
2019_1101_1277,0.03637884121173634
2019_1101_1278,0.1289397031423825
2019_1101_1279,0.17162178047994905
2019_1101_1280,0.09903004357594507
2019_1101_1285,0.42422044882119453
2019_1101_1293,0.3062520768187818
2019_1101_1295,0.6566537548491846
2019_1101_1297,0.35496794210247923
2019_1101_1300,0.8692999573561045
2019_1101_1305,0.10413054574632083
2019_1101_1308,0.1878172890613874
2019_1101_1314,0.04040345135019792
2019_1101_1318,0.3612961485786445
2019_1101_1326,0.14719843477035005
2019_1101_1328,0.1394915523633582
2019_1101_1330,0.30687231465374704
2019_1101_1332,0.1567950449713945
2019_1101_1341,0.7073230694680558
2019_1101_1345,0.06731130605340904
2019_1101_1371,0.17897078418109552
2019_1101_1385,0.22321199900943586
2019_1101_1387,0.3337179273502187
2019_1101_1388,0.20283960098045795
2019_1101_1393,0.1376379650004932
2019_1101_1396,0.23878191893931308
2019_1101_1397,0.037989191085999255
2019_1101_1403,0.06191674368235087
2019_1101_1414,0.22343590664214202
2019_1101_1416,0.19181766222843188
2019_1101_1429,0.162623375761256
2019_1101_1433,0.18160332880397748
2019_1101_1436,0.32617395534129956
2019_1101_1437,0.09916739494320627
2019_1101_1438,0.02883740273609389
2019_1101_1439,0.08256904156979787
2019_1101_1449,0.10851945126186564
2019_1101_1458,0.0737126065166741
2019_1101_1459,0.15312271899620924
2019_1101_1463,0.4492574691268955
2019_1113_1120,0.24079780711859855
2019_1113_1124,0.4949019969273267
2019_1113_1125,0.6650479726629446
2019_1113_1133,0.8185861484567538
2019_1113_1138,0.3062079352702302
2019_1113_1153,0.36618516767092907
2019_1113_1159,0.7801460624194765
2019_1113_1181,0.10100138917253015
2019_1113_1192,0.9194676356841791
2019_1113_1196,0.40283975901034313
2019_1113_1199,0.19040143694280642
2019_1113_1205,0.8573710492425302
2019_1113_1209,0.7118967133073287
2019_1113_1211,0.17137650221105324
2019_1113_1222,0.2441650073653496
2019_1113_1233,0.9278501679392973
2019_1113_1234,0.36767383310251783
2019_1113_1235,0.30908724597622383
2019_1113_1242,0.2133913000636395
2019_1113_1243,0.272904072475717
2019_1113_1246,0.17489344407712612
2019_1113_1251,0.6677500324738324
2019_1113_1257,0.336612997408663
2019_1113_1261,0.2541165979768133
2019_1113_1266,0.32740102092266943
2019_1113_1268,0.32261497997839295
2019_1113_1276,0.14518386412630388
2019_1113_1277,0.13617003277771716
2019_1113_1278,0.38198603071348386
2019_1113_1279,0.46382894033335914
2019_1113_1280,0.3145765581599117
2019_1113_1285,0.7546869143119294
2019_1113_1293,0.648291828425841
2019_1113_1295,0.8887124930586183
2019_1113_1297,0.6967706314099121
2019_1113_1300,0.9652437952194344
2019_1113_1305,0.32675249389646693
2019_1113_1308,0.49124679366979845
2019_1113_1314,0.14952156555014173
2019_1113_1318,0.7025554249372515
2019_1113_1326,0.41884757181740623
2019_1113_1328,0.40364987706054706
2019_1113_1330,0.6489567908274014
2019_1113_1332,0.43707754736525967
2019_1113_1341,0.9098379128615909
2019_1113_1345,0.23156347021505036
2019_1113_1371,0.4764931377793618
2019_1113_1385,0.5454228749549738
2019_1113_1387,0.676519468859969
2019_1113_1388,0.5151450940153173
2019_1113_1393,0.39991744985447936
2019_1113_1396,0.5670610084718859
2019_1113_1397,0.14154887181979378
2019_1113_1403,0.216054508164983
2019_1113_1414,0.5457429185278929
2019_1113_1416,0.4977492272571043
2019_1113_1429,0.44779156988702523
2019_1113_1433,0.4809384803097109
2019_1113_1436,0.6690071918448869
2019_1113_1437,0.31490837386342935
2019_1113_1438,0.11030972013688178
2019_1113_1439,0.2731491699894403
2019_1113_1449,0.3369949000928104
2019_1113_1458,0.2494081329978039
2019_1113_1459,0.430189801357379
2019_1113_1463,0.7730419345284198
2019_1120_1124,0.7546663258226626
2019_1120_1125,0.8617523221321105
2019_1120_1133,0.9340631724844772
2019_1120_1138,0.5808202005000381
2019_1120_1153,0.6446104061103812
2019_1120_1159,0.917629545595451
2019_1120_1181,0.26074538250619245
2019_1120_1192,0.9728587687008717
2019_1120_1196,0.6792664115803474
2019_1120_1199,0.4247376152231789
2019_1120_1205,0.9496776585796892
2019_1120_1209,0.8858124509369757
2019_1120_1211,0.39368375168202824
2019_1120_1222,0.5035175335666164
2019_1120_1233,0.9758299600839709
2019_1120_1234,0.6460771729630532
2019_1120_1235,0.5841077433949875
2019_1120_1242,0.4599474634467415
2019_1120_1243,0.5409359483506263
2019_1120_1246,0.3995629599247882
2019_1120_1251,0.8631939882166061
2019_1120_1257,0.6143476267985758
2019_1120_1261,0.5168119392898256
2019_1120_1266,0.6044605075374121
2019_1120_1268,0.5992326827822921
2019_1120_1276,0.3477744650608263
2019_1120_1277,0.33105387322401414
2019_1120_1278,0.6599165090535191
2019_1120_1279,0.7308839058737913
2019_1120_1280,0.5903082626542813
2019_1120_1285,0.90617634199631
2019_1120_1293,0.8526562735979648
2019_1120_1295,0.9616429901233305
2019_1120_1297,0.8782558204579893
2019_1120_1300,0.9886606457817014
2019_1120_1305,0.60375580775425
2019_1120_1308,0.751948750708344
2019_1120_1314,0.35564673043911144
2019_1120_1318,0.8811688396612402
2019_1120_1326,0.6935020618569897
2019_1120_1328,0.6799994142923724
2019_1120_1330,0.8530224505121339
2019_1120_1332,0.7091001976086598
2019_1120_1341,0.969400870062195
2019_1120_1345,0.486139860277888
2019_1120_1371,0.7407657550619557
2019_1120_1385,0.7902185069334499
2019_1120_1387,0.867825942310674
2019_1120_1388,0.7693506245878003
2019_1120_1393,0.6766108990670511
2019_1120_1396,0.8043833802124193
2019_1120_1397,0.3410911396415339
2019_1120_1403,0.4638731741616669
2019_1120_1414,0.7904324239546742
2019_1120_1416,0.7567689265466786
2019_1120_1429,0.7179775272681672
2019_1120_1433,0.7441718672184999
2019_1120_1436,0.8638624004002694
2019_1120_1437,0.5906802802231326
2019_1120_1438,0.28018741590606244
2019_1120_1439,0.5412425768706957
2019_1120_1449,0.6147526303464963
2019_1120_1458,0.5105678735193474
2019_1120_1459,0.7032812970354008
2019_1120_1463,0.9144809304148649
2019_1124_1125,0.6686317679508541
2019_1124_1133,0.8209694060941705
2019_1124_1138,0.30964563441545806
2019_1124_1153,0.3699371773772924
2019_1124_1159,0.7829003820008239
2019_1124_1181,0.10247557751170333
2019_1124_1192,0.9206540612574751
2019_1124_1196,0.40672633130475666
2019_1124_1199,0.19290049675830442
2019_1124_1205,0.8593323419841673
2019_1124_1209,0.7151939156547114
2019_1124_1211,0.17367942401307
2019_1124_1222,0.24715430215680365
2019_1124_1233,0.9289226460861386
2019_1124_1234,0.3714321572230612
2019_1124_1235,0.3125427082618373
2019_1124_1242,0.21611155945986135
2019_1124_1243,0.27611668194042155
2019_1124_1246,0.17723351742896437
2019_1124_1251,0.6713192054452651
2019_1124_1257,0.3402246528778377
2019_1124_1261,0.2571862723123674
